"----------------------------------
Data Retrieval: Starting
----------------------------------"
"***********
Beginning callset group: 0
***********"
"Processed Record 31 in callset group: 4 | male, mv"
"Processed Record 32 in callset group: 4 | puerto leguizamo, co"
"Processed Record 33 in callset group: 4 | uruacu, br"
"Processed Record 34 in callset group: 4 | dunedin, nz"
"Processed Record 35 in callset group: 4 | jijiga, et"
"Skipping Record 36 in callset group: 4 | falealupo, ws NOT FOUND"
"Processed Record 37 in callset group: 4 | smithers, ca"
"Skipping Record 38 in callset group: 4 | phan rang, vn NOT FOUND"
"Processed Record 39 in callset group: 4 | aksarka, ru"
"Processed Record 40 in callset group: 4 | strezhevoy, ru"
"Processed Record 41 in callset group: 4 | atambua, id"
"Processed Record 42 in callset group: 4 | katsuura, jp"
"Processed Record 43 in callset group: 4 | kiama, au"
"Processed Record 44 in callset group: 4 | dakar, sn"
"Processed Record 45 in callset group: 4 | waingapu, id"
"Processed Record 46 in callset group: 4 | jonkoping, se"
"Skipping Record 47 in callset group: 4 | paradwip, in NOT FOUND"
"Processed Record 48 in callset group: 4 | sumter, us"
"Processed Record 49 in callset group: 4 | touros, br"
"Processed Record 50 in callset group: 4 | tapes, br"
"Processed Record 51 in callset group: 4 | nyurba, ru"
"Processed Record 52 in callset group: 4 | shiraoi, jp"
"Processed Record 53 in callset group: 4 | iskateley, ru"
"Processed Record 54 in callset group: 4 | taoudenni, ml"
"Processed Record 55 in callset group: 4 | talaya, ru"
"Processed Record 56 in callset group: 4 | tezu, in"
"Processed Record 57 in callset group: 4 | dhidhdhoo, mv"
"Processed Record 58 in callset group: 4 | coleraine, gb"
"Processed Record 59 in callset group: 4 | amapa, br"
"***********
Beginning callset group: 5
***********"
"Processed Record 0 in callset group: 5 | lewistown, us"
"Processed Record 1 in callset group: 5 | shebalino, ru"
"Processed Record 2 in callset group: 5 | clyde river, ca"
"Processed Record 3 in callset group: 5 | saraipali, in"
"Processed Record 4 in callset group: 5 | turukhansk, ru"
"Skipping Record 5 in callset group: 5 | lata, sb NOT FOUND"
"Processed Record 6 in callset group: 5 | emerald, au"
"Skipping Record 7 in callset group: 5 | tabiauea, ki NOT FOUND"
"Processed Record 8 in callset group: 5 | aranos, na"
"Processed Record 9 in callset group: 5 | sambava, mg"
"Processed Record 10 in callset group: 5 | ancud, cl"
"Processed Record 11 in callset group: 5 | xining, cn"
"Processed Record 12 in callset group: 5 | salekhard, ru"
"Processed Record 13 in callset group: 5 | saint george, bm"
"Skipping Record 14 in callset group: 5 | bengkulu, id NOT FOUND"
"Processed Record 15 in callset group: 5 | kahului, us"
"Processed Record 16 in callset group: 5 | gamba, ga"
"Processed Record 17 in callset group: 5 | geraldton, ca"
"Processed Record 18 in callset group: 5 | koraput, in"
"Processed Record 19 in callset group: 5 | meadow lake, ca"
"Processed Record 20 in callset group: 5 | pecos, us"
"Skipping Record 21 in callset group: 5 | kapoeta, sd NOT FOUND"
"Processed Record 22 in callset group: 5 | lydenburg, za"
"Processed Record 23 in callset group: 5 | buba, gw"
"Processed Record 24 in callset group: 5 | itarema, br"
"Processed Record 25 in callset group: 5 | coquimbo, cl"
"Processed Record 26 in callset group: 5 | vao, nc"
"Processed Record 27 in callset group: 5 | kabwe, zm"
"Skipping Record 28 in callset group: 5 | galiwinku, au NOT FOUND"
"Processed Record 29 in callset group: 5 | byron bay, au"
"Processed Record 30 in callset group: 5 | shimoda, jp"
"Processed Record 31 in callset group: 5 | bambanglipuro, id"
"Processed Record 32 in callset group: 5 | kushima, jp"
"Processed Record 33 in callset group: 5 | bhabua, in"
"Processed Record 34 in callset group: 5 | tuy hoa, vn"
"Processed Record 35 in callset group: 5 | vostok, ru"
"Processed Record 36 in callset group: 5 | cayenne, gf"
"Processed Record 37 in callset group: 5 | klaksvik, fo"
"Processed Record 38 in callset group: 5 | port blair, in"
"Processed Record 39 in callset group: 5 | rumphi, mw"
"Processed Record 40 in callset group: 5 | broken hill, au"
"Processed Record 41 in callset group: 5 | bayshore gardens, us"
"Skipping Record 42 in callset group: 5 | grand river south east, mu NOT FOUND"
"Processed Record 43 in callset group: 5 | rawson, ar"
"Skipping Record 44 in callset group: 5 | rawannawi, ki NOT FOUND"
"Processed Record 45 in callset group: 5 | guacimo, cr"
"Processed Record 46 in callset group: 5 | yarim, ye"
"Processed Record 47 in callset group: 5 | batagay-alyta, ru"
"Processed Record 48 in callset group: 5 | jiamusi, cn"
"Skipping Record 49 in callset group: 5 | dujuma, so NOT FOUND"
"Processed Record 50 in callset group: 5 | petropavlovsk-kamchatskiy, ru"
"Processed Record 51 in callset group: 5 | timmins, ca"
"Processed Record 52 in callset group: 5 | sao filipe, cv"
"Skipping Record 53 in callset group: 5 | jibuti, dj NOT FOUND"
"Processed Record 54 in callset group: 5 | huarmey, pe"
"Processed Record 55 in callset group: 5 | jizan, sa"
"Processed Record 56 in callset group: 5 | vangaindrano, mg"
"Processed Record 57 in callset group: 5 | madimba, tz"
"Processed Record 58 in callset group: 5 | ponta delgada, pt"
"Processed Record 59 in callset group: 5 | sal rei, cv"
"***********
Beginning callset group: 6
***********"
"Processed Record 0 in callset group: 6 | sao francisco do sul, br"
"Skipping Record 1 in callset group: 6 | palabuhanratu, id NOT FOUND"
"Processed Record 2 in callset group: 6 | alice, us"
"Processed Record 3 in callset group: 6 | svetlogorsk, ru"
"Processed Record 4 in callset group: 6 | simao, cn"
"Processed Record 5 in callset group: 6 | tazovskiy, ru"
"Processed Record 6 in callset group: 6 | belyy yar, ru"
"Processed Record 7 in callset group: 6 | hay river, ca"
"Processed Record 8 in callset group: 6 | boulder city, us"
"Processed Record 9 in callset group: 6 | sur, om"
"Skipping Record 10 in callset group: 6 | khani, ru NOT FOUND"
"Processed Record 11 in callset group: 6 | isangel, vu"
