,CityID,Name,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed (mph),Date_Time
1166,3359638,Walvis Bay,NA,-22.95,14.51,61.0,93,100,4.7,1573884537
1167,6957998,Xiongzhou,CN,32.34,118.83,82.0,29,45,4.47,1573884537
1168,3397851,Itupiranga,BR,-5.13,-49.33,77.0,94,0,1.9,1573884537
1169,6087843,New Waterford,CA,46.25,-60.08,42.01,80,90,11.41,1573884537
1170,2082539,Merauke,ID,-8.49,140.4,86.38,64,74,11.03,1573884537
1171,214389,Kaniama,CD,-7.57,24.18,73.31,91,96,2.13,1573884537
1172,1695804,Tambongon,PH,7.26,125.66,91.4,55,20,9.17,1573884537
1173,2019323,Nerchinskiy Zavod,RU,51.31,119.61,7.93,31,0,7.36,1573884537
1174,3461525,Ibotirama,BR,-12.18,-43.22,77.32,43,74,0.83,1573884444
1175,529073,Marks,RU,51.71,46.75,30.99,86,0,3.0,1573884537
1176,2214433,Nalut,LY,31.86,10.98,63.14,19,100,15.14,1573884537
1177,3115739,Naron,ES,43.52,-8.15,46.99,100,20,5.82,1573884537
1178,1789789,Bianzhuang,CN,39.44,112.12,45.7,18,81,2.44,1573884538
1179,2128975,Nemuro,JP,43.32,145.57,39.2,35,40,16.11,1573884538
1180,2562247,Marsaxlokk,MT,35.84,14.54,70.0,73,100,18.34,1573884538
1181,161616,Balkanabat,TM,39.51,54.36,43.09,52,19,13.8,1573884538
1182,1293960,Taunggyi,MM,20.78,97.03,81.41,45,0,1.9,1573884538
1183,988698,Knysna,ZA,-34.04,23.05,64.4,93,90,4.7,1573884538
1184,2120048,Ust-Nera,RU,64.57,143.24,-7.46,98,78,6.29,1573884538
1185,3441665,Minas,UY,-34.38,-55.24,54.84,89,33,9.95,1573884538
1186,5889745,Hauterive,CA,49.18,-68.27,18.0,66,75,18.34,1573884538
1187,2186313,Napier,NZ,-39.49,176.92,73.0,45,58,8.99,1573884539
1188,1710590,Ipilan,PH,8.84,117.9,82.47,74,39,4.76,1573884539
1189,3694112,Paita,PE,-5.09,-81.11,66.29,82,100,7.38,1573884539
1190,6359910,Aller,ES,43.12,-5.58,46.99,98,87,9.17,1573884539
1191,2037485,Erenhot,CN,43.65,111.97,40.41,31,83,11.72,1573884539
1192,3572924,Alice Town,BS,25.72,-79.3,76.39,81,99,15.57,1573884515
1193,1152432,Lang Suan,TH,9.95,99.07,84.72,62,85,9.57,1573884539
1194,471607,Voskresenskoye,RU,56.84,45.43,32.05,83,92,8.88,1573884539
1195,676447,Gurbanesti,RO,44.38,26.7,51.01,100,90,3.36,1573884539
1196,1650233,Banjar,ID,-7.37,108.54,89.04,45,35,8.57,1573884540
1197,2409914,Bonthe,SL,7.53,-12.5,76.89,86,100,3.47,1573884540
1198,610613,Aksay,KZ,51.17,53.01,34.65,50,21,3.38,1573884540
1199,2467813,Rafraf,TN,37.19,10.18,60.8,87,40,3.36,1573884540
1200,5523074,Hereford,US,34.82,-102.4,45.0,60,1,6.93,1573884540
1201,3654410,Manta,EC,-0.95,-80.73,75.2,78,75,6.93,1573884498
1202,1624987,Indramayu,ID,-4.05,103.78,95.14,34,65,3.29,1573884540
1203,2037799,Datong,CN,40.09,113.3,49.64,18,84,1.41,1573884540
1204,5536630,Cedar City,US,37.68,-113.06,39.2,44,1,4.7,1573884540
1205,6164499,The Pas,CA,53.82,-101.24,23.0,79,100,11.41,1573884540
1206,2544571,Kenitra,MA,34.26,-6.57,55.4,58,75,8.05,1573884540
1207,2028078,Aginskoye,RU,51.11,114.54,13.82,35,0,5.08,1573884540
1208,3601403,Saba,HN,15.52,-86.23,66.52,97,88,1.14,1573884605
1209,5906757,Bow Island,CA,49.87,-111.38,45.0,70,75,23.04,1573884605
1210,5059429,Key West,US,47.93,-96.78,30.99,74,1,10.29,1573884605
1211,2025099,Dauriya,RU,49.93,116.85,12.94,50,0,7.38,1573884605
1212,3867427,Mayor Pablo Lagerenza,PY,-19.93,-60.77,70.68,61,93,0.4,1573884605
1213,1805953,Jiaxing,CN,30.76,120.75,78.8,31,11,4.47,1573884605
1214,5223593,Newport,US,41.49,-71.31,42.8,55,1,8.05,1573884605
1215,1280957,Jiuquan,CN,39.73,98.49,34.14,30,98,9.22,1573884605
1216,3470177,Bela Vista,BR,-22.11,-56.53,65.53,57,16,1.5,1573884606
1217,3580477,West Bay,KY,19.37,-81.42,78.01,86,3,1.1,1573884606
1218,6164831,Thessalon,CA,46.26,-83.55,10.4,85,1,4.09,1573884606
1219,3093739,Lebork,PL,54.54,17.75,48.0,100,90,14.99,1573884606
1220,3996472,Mascota,MX,20.53,-104.79,77.0,83,75,2.24,1573884606
1221,3173160,Mondragone,IT,41.11,13.89,64.0,93,75,5.82,1573884606
1222,485351,Syamzha,RU,60.02,41.06,30.72,94,100,4.21,1573884606
1223,1684462,Tagcatong,PH,9.0,125.26,85.3,64,59,9.15,1573884606
1224,610298,Beyneu,KZ,45.32,55.19,34.48,66,0,8.01,1573884606
1225,5210117,Saint Marys,US,41.43,-78.56,34.0,74,90,8.05,1573884606
1226,2313002,Matadi,CD,-5.83,13.46,74.17,94,100,4.38,1573884607
1227,2963902,Granard,IE,53.78,-7.49,34.12,95,100,1.61,1573884607
1228,3625710,Upata,VE,8.02,-62.41,69.93,97,2,2.64,1573884607
1229,3601402,Savannah Bight,HN,16.45,-85.85,82.15,73,73,11.52,1573884607
1230,702421,Zaozerne,UA,51.37,23.94,45.27,89,45,10.69,1573884607
1231,3104707,Villaviciosa,ES,43.48,-5.43,46.99,87,75,12.75,1573884607
1232,1785961,Heihe,CN,33.22,106.45,57.02,62,55,3.42,1573884607
1233,2160735,Lakes Entrance,AU,-37.88,147.99,66.99,39,10,5.99,1573884607
1234,608271,Shubarkuduk,KZ,49.15,56.49,32.14,44,0,5.82,1573884607
1235,544318,Kosa,RU,59.94,54.99,31.57,93,100,7.34,1573884607
1236,2019118,Nizhniy Tsasuchey,RU,50.52,115.13,16.16,31,0,5.41,1573884607
1237,3472473,Alto Araguaia,BR,-17.32,-53.22,66.06,94,100,1.86,1573884607
1238,1525988,Ayagoz,KZ,47.96,80.43,4.37,66,18,10.33,1573884608
1239,2823533,Templin,DE,53.12,13.5,48.0,93,75,9.17,1573884608
1240,211647,Lodja,CD,-3.52,23.6,73.35,95,100,2.01,1573884608
1241,69559,Zabid,YE,14.2,44.5,62.94,39,0,5.06,1573884608
1242,3996234,Lazaro Cardenas,MX,28.39,-105.62,46.99,83,2,1.01,1573884608
1243,2036892,Hohhot,CN,40.81,111.65,46.4,24,20,2.24,1573884608
